DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub
36155,0.0,0.0,0.0,0.0,0.0,0.0
36251,0.0,0.0,0.0,0.0,0.0,0.0
36457,0.0,0.0,0.0,0.0,0.0,0.0
36689,0.0,0.0,0.0,0.0,0.0,0.0
37210,0.0,0.0,0.0,0.0,0.0,0.0
37629,0.0,0.0,0.0,0.0,0.0,0.0
37675,0.0,0.0,0.0,0.0,0.0,0.0
37750,0.0,0.0,0.0,0.0,0.0,0.0
37908,0.0,0.0,0.0,0.0,0.0,0.0
37929,0.0,0.0,0.0,0.0,0.0,0.0
38378,0.0,0.0,0.0,0.0,0.0,0.0
38814,0.0,0.0,0.0,0.0,0.0,0.0
39631,0.0,0.0,0.0,0.0,0.0,0.0
40212,0.0,0.0,0.0,0.0,0.0,0.0
41036,0.0,0.0,0.0,0.0,0.0,0.0
41060,0.0,0.0,0.0,0.0,0.0,0.0
41684,0.0,0.0,0.0,0.0,0.0,0.0
41863,0.0,0.0,0.0,0.0,0.0,0.0
42386,0.0,0.0,0.0,0.0,0.0,0.0
42433,0.0,0.0,0.0,0.0,0.0,0.0
42444,0.0,0.0,0.0,0.0,0.0,0.0
42641,0.0,0.0,0.0,0.0,0.0,0.0
42942,0.0,0.0,0.0,0.0,0.0,0.0
43198,0.0,0.0,0.0,0.0,0.0,0.0
43590,0.0,0.0,0.0,0.0,0.0,0.0
44039,0.0,0.0,0.0,0.0,0.0,0.0
44321,0.0,0.0,0.0,0.0,0.0,0.0
44617,0.0,0.0,0.0,0.0,0.0,0.0
45027,0.0,0.0,0.0,0.0,0.0,0.0
45415,0.0,0.0,0.0,0.0,0.0,0.0
45600,0.0,0.0,0.0,0.0,0.0,0.0
45836,0.0,0.0,0.0,0.0,0.0,0.0
46357,0.0,0.0,0.0,0.0,0.0,0.0
46359,0.0,0.0,0.0,0.0,0.0,0.0
46915,0.0,0.0,0.0,0.0,0.0,0.0
47417,0.0,0.0,0.0,0.0,0.0,0.0
48090,0.0,0.0,0.0,0.0,0.0,0.0
49023,0.0,0.0,0.0,0.0,0.0,0.0
49159,0.0,0.0,0.0,0.0,0.0,0.0
49422,0.0,0.0,0.0,0.0,0.0,0.0
50026,0.0,0.0,0.0,0.0,0.0,0.0
50066,0.0,0.0,0.0,0.0,0.0,0.0
50183,0.0,0.0,0.0,0.0,0.0,0.0
50411,0.0,0.0,0.0,0.0,0.0,0.0
50504,0.0,0.0,0.0,0.0,0.0,0.0
50598,0.0,0.0,0.0,0.0,0.0,0.0
51135,0.0,0.0,0.0,0.0,0.0,0.0
51217,0.0,0.0,0.0,0.0,0.0,0.0
51380,0.0,0.0,0.0,0.0,0.0,0.0
51476,0.0,0.0,0.0,0.0,0.0,0.0
51852,0.0,0.0,0.0,0.0,0.0,0.0
51944,0.0,0.0,0.0,0.0,0.0,0.0
51980,0.0,0.0,0.0,0.0,0.0,0.0
52721,0.0,0.0,0.0,0.0,0.0,0.0
52766,0.0,0.0,0.0,0.0,0.0,0.0
53132,0.0,0.0,0.0,0.0,0.0,0.0
54008,0.0,0.0,0.0,0.0,0.0,0.0
54088,0.0,0.0,0.0,0.0,0.0,0.0
54554,0.0,0.0,0.0,0.0,0.0,0.0
54929,0.0,0.0,0.0,0.0,0.0,0.0
55571,0.0,0.0,0.0,0.0,0.0,0.0
56217,0.0,0.0,0.0,0.0,0.0,0.0
56423,0.0,0.0,0.0,0.0,0.0,0.0
56486,0.0,0.0,0.0,0.0,0.0,0.0
57317,1076.51141013,369.596181454,2398.38530374,0.00922742836393,0.00733490644532,0.0116170289286
57324,0.0,0.0,0.0,0.0,0.0,0.0
57383,0.0,0.0,0.0,0.0,0.0,0.0
57676,0.0,0.0,0.0,0.0,0.0,0.0
57957,0.0,0.0,0.0,0.0,0.0,0.0
58172,0.0,0.0,0.0,0.0,0.0,0.0
58697,0.0,0.0,0.0,0.0,0.0,0.0
